Gene,MCF10A_R1,MCF10A_R2,MCF10A_R3,MCF7_R1,MCF7_R2,MCF7_R3,MDA.MB.231_R1,MDA.MB.231_R2,MDA.MB.231_R3
C1orf233,0.0635054022001094,0,0,4.5815254056862,11.1667093634641,10.0025534506109,0.757492305583918,0.405366914172519,0.225001914546569
C1orf27,21.3378151392367,16.252356007573,14.5423766715865,17.7039191602442,15.4023577427091,14.97197491015,18.179815334014,19.0792694270532,19.6251669910063
C1orf35,3.17527011000547,4.30983529755479,6.75427921239561,7.89040486534845,11.3693719653418,9.74771132448065,5.62708569862339,8.02626490061588,5.97505084184778
C1orf43,90.8762305483565,67.1149924199372,87.0474963801598,85.3238404256497,82.5850102651835,85.6906649112842,95.1554620062084,105.611593372414,91.9007819859098
C1orf50,2.3814525825041,3.35574962099686,2.7396183540074,5.11886480511853,6.0190792757692,5.90384258868327,2.88568497365302,3.10781300865598,2.82502403819581
C1orf52,7.23961585081247,7.50108738811063,7.89147928387038,10.2660106312598,9.09955082431102,8.28236909923193,12.0116637028307,11.9988606595066,12.1751035982421
C1orf53,1.27010804400219,1.18438221917536,1.44734554551335,1.35748900909221,1.21597561126651,1.40163169371617,1.2624871759732,1.91873672708326,1.82501552909995
C1orf56,0.952581033001641,0.789588146116908,0.982127334455484,3.81793783807183,4.17484959868167,4.6296319580322,1.33462930031452,0.99990505495888,0.975008296368466
C1orf74,3.39753901770585,7.76428343681626,3.44606082265082,3.90278090114009,4.45857724131052,4.6296319580322,3.9678168387729,3.35103315715949,4.12503510002043
C1orf85,6.38229292111099,7.43528837593422,5.84107309439314,4.5815254056862,6.82972968328021,5.73394783792979,19.9833684425472,21.3493241464193,19.100162523731
C1orf86,1.58763505500273,4.27693579146659,4.6177215023521,2.43216780795687,4.4788435014983,4.39602667574618,3.13818240884766,3.40508207904916,3.12502659092457
C1QBP,85.4147659591471,43.0654534694597,122.714225894596,132.157211239331,134.851695289455,125.488510275286,117.55559161419,106.935791958711,115.550983226027
C1QTNF6,5.65198079580973,6.48120269937629,7.25395803167998,9.02164570625862,12.6056138367961,9.98131660676668,0.64927911907193,0.837758289289873,0.80000680727669
C1R,0.571548619800984,9.86985182646135,0.396296994604845,0.113124084091017,0.202662601877751,0.254842126130213,3.13818240884766,3.99962021983552,2.70002297455883
C1RL,8.73199280251504,16.9103461293371,10.1831097309332,0.0282810210227543,0.0202662601877751,0,1.65926885985049,1.89171226613842,1.17500999818764
C1RL-AS1,7.27136855191252,4.57303134626043,7.28841863990649,0,0,0,1.33462930031452,1.62146765669008,1.72501467819036
C20orf194,7.62064826401313,9.86985182646135,8.47730962372102,8.14493405455324,7.76197765191786,7.2205269070227,11.0377450242228,12.5663743393481,11.6500991309668
C20orf196,0.698559424201203,1.18438221917536,0.758133380983181,0.876711651705383,0.668786586196578,0.891947441455746,1.00998974077856,1.27014966440723,0.95000808364107
C20orf24,4.57238895840787,2.96095554793841,7.51241259337879,3.16747435454848,4.49910976168607,4.43850036343455,9.45061828871364,8.89104765085058,8.85007530549839
C20orf27,5.55672269250957,6.18510714458245,12.6642735232418,28.2810210227543,49.2470122562935,47.1882670217778,29.3257735447488,23.2680608735026,26.0252214492198
C21orf119,1.49237695170257,1.97397036529227,1.25781220026755,2.57357291307064,3.42499797173399,2.56965810514632,0.685350181242593,0.756684906455369,0.750006381821897
C21orf2,1.17484994070202,3.55314665752609,2.23993953472303,2.57357291307064,4.15458333849389,4.16242139346015,2.16426373023977,2.21600579747644,1.80001531637255
C21orf33,1.11134453850191,1.4804777739692,1.67133949898565,0.0282810210227543,0.0405325203755502,0,0,0.0270244609448346,0
C21orf58,2.88949580010498,1.18438221917536,6.01337613552568,7.5510326130754,7.86330895285674,8.68586913227143,3.57103515489561,3.37805761810433,4.15003531274783
C21orf59,5.46146458920941,3.78344320014352,4.85894575993766,6.561196877279,5.63402033220148,5.37292149257866,3.28246665753031,3.05376408676631,3.47502956910812
C21orf67,0.571548619800984,0.789588146116908,0.620290948077148,2.99778822841196,3.76952439492617,3.33418448353695,1.15427398946121,1.27014966440723,1.17500999818764
C21orf91,16.1621248599278,15.2982703310151,9.33882482938373,17.5625140551304,13.2946666831805,14.6746590963314,10.2081105942976,8.4316318147884,9.5000808364107
C22orf29,10.0656062487173,28.2606757297677,16.7133949898565,8.28633915966701,9.50487602806652,12.2748957419386,7.61099411800984,6.4047972439258,7.72506573276554
C22orf39,7.20786314971241,11.580626143048,8.47730962372102,8.31462018068976,10.0115325327609,9.66276394910391,9.08990766700702,9.45856133069211,8.95007615640797
C22orf46,4.92166867050848,9.14606269252085,6.80597012473537,2.6018539340934,2.53328252347189,2.42100019823702,2.48890328977573,2.16195687558677,2.85002425092321
C2CD2,35.7535414386616,33.8535917647624,27.6546381017728,10.5488208414874,10.3155264355775,9.83265869985739,12.2280900758547,10.2422706980923,12.2251040236969
C2CD2L,8.16044418271406,17.1735421780427,4.63495180646535,4.29871519545865,6.32307317858583,6.45600052863207,8.83741023181238,9.02616995557476,8.22506998731347
C2CD3,13.4313925653231,16.3510545258376,12.612582610902,10.0963245051233,8.85635570205772,10.7246061413131,15.4744856712143,12.8366189487964,14.750125509164
C2CD5,10.8594237762187,13.028204410929,13.422406904225,15.3000323733101,11.713898388534,13.2305537149269,16.3762622254809,15.8903830355627,19.9751699691899
C2orf15,3.0800120067053,3.15835258446763,2.06763649359049,6.16526258296044,5.02603252656822,4.35355298805781,0.0721421243413255,0.0810733828345038,0.100000850909586
C2orf27A,0.508043217600875,0.65799012176409,0.396296994604845,2.9695072073892,3.01967276797849,3.20676342047185,3.89567471443158,3.13483746960081,2.65002254910404
C2orf42,3.74681872980645,6.02060961414142,3.7906669049159,6.84400708750654,5.9380142350181,5.56405308717632,5.04994870389279,5.02654973573924,4.97504233275192
C2orf43,0.0317527011000547,0.164497530441022,0.0344606082265082,13.7445762170586,10.6803191189575,11.5316062073921,6.63707543940195,6.91826200187766,6.45005488366832
C2orf44,6.06476591011045,3.25705110273225,7.52964289749205,8.5408683488718,8.39023171773889,7.94257959772498,8.98169448049503,8.29650951006422,8.47507211458744
C2orf47,10.3831332597179,6.81019776025833,8.89083692243912,17.8170432443352,17.0641910781066,16.0550539462034,10.9295318377108,9.16129226029893,9.37507977277371
C2orf49,17.8450180182307,17.1735421780427,13.0433402137334,18.9765651062681,16.4764695326611,16.4160802915546,10.7491765268575,12.3501786517894,10.7250912600531
